"","District","Block","Village","mean","upper","lower"
"V1243_1","UDAIPUR","KHERWARA","AAKOT",31.0850057552021,20.7994991043074,61.3492500428889
"V1244_1","UDAIPUR","KHERWARA","SUNDRA",14.3964774618322,9.18051756133081,22.805809335789
"V1245_1","UDAIPUR","KHERWARA","ASODAVADA",9.9495149707519,2.51286839635817,14.4452882363144
"V1246_1","UDAIPUR","KHERWARA","MITHI MAHUDI",40.8920680425515,37.8570785453912,57.1728854528442
"V1247_1","UDAIPUR","KHERWARA","BAYDI",16.9566402630307,-17.919984340322,16.1960107061353
"V1248_1","UDAIPUR","KHERWARA","LAKODA",22.7425161412369,14.2169946586145,27.8318986647234
"V1249_1","UDAIPUR","KHERWARA","PALSIYA",12.3941690583233,1.53035139949935,21.1240292779889
"V1250_1","UDAIPUR","KHERWARA","KANBAI",72.444287792671,33.3512245236201,84.4636829223545
"V1251_1","UDAIPUR","KHERWARA","SUKHVADI",32.7930907818746,24.4764440201311,42.4392810438344
"V1252_1","UDAIPUR","KHERWARA","KANBAI CHAK 1",40.4623816313026,28.4374274618608,55.651814401533
"V1253_1","UDAIPUR","KHERWARA","KANBAI CHAK 2",19.5968528543794,16.6208861584262,31.4403416609241
"V1254_1","UDAIPUR","KHERWARA","JAYARA",62.7542390361799,52.1519973688427,82.5081019794466
"V1255_1","UDAIPUR","KHERWARA","SUKHAPADA",14.8315685290545,2.90255788656719,21.5233293155649
"V1256_1","UDAIPUR","KHERWARA","PATIYA",7.08417120114441,-4.49148608940607,15.5488437561044
"V1257_1","UDAIPUR","KHERWARA","CHIKHALI",12.5997550160676,8.00685076666972,20.6525640022825
"V1258_1","UDAIPUR","KHERWARA","KANPUR2",21.2249495202383,6.94214125461524,34.386321247088
"V1259_1","UDAIPUR","KHERWARA","JHANJARI",33.4750263723655,29.0133641034962,48.4721919012038
"V1260_1","UDAIPUR","KHERWARA","RANAVADA",34.4254351653764,30.8644911219873,48.9523537802736
"V1261_1","UDAIPUR","KHERWARA","GUDHA1",42.7523950074233,27.9856630293778,67.4938054228561
"V1262_1","UDAIPUR","KHERWARA","BHANVA",20.3841222529944,14.8907264358335,32.5727421555452
"V1263_1","UDAIPUR","KHERWARA","BABRI",29.8105388091371,21.2733212462154,36.1397159840676
"V1264_1","UDAIPUR","KHERWARA","DEMAT",52.1935332484891,40.7829713152507,68.1162985876895
"V1265_1","UDAIPUR","KHERWARA","DABAYACHA",33.7914311162706,18.5188069441493,50.5324306030522
"V1266_1","UDAIPUR","KHERWARA","VAV",30.660954416551,21.6811643991941,38.1107955739566
"V1267_1","UDAIPUR","KHERWARA","MALI FALA1",52.5191492095466,33.7473204299998,82.0362999784231
"V1268_1","UDAIPUR","KHERWARA","KAHRKAYA",25.7529724141607,7.50754823247075,33.3853380162139
"V1269_1","UDAIPUR","KHERWARA","JUARVA",22.1044184003693,9.509880668897,30.5593130516098
"V1270_1","UDAIPUR","KHERWARA","BOSLATHI",22.1855847016752,7.40899877932896,31.5937988174986
"V1271_1","UDAIPUR","KHERWARA","BHAGORVADA",22.2556990938281,9.24296358592668,26.2013558674283
